TransectID,season,zone,vgroup,ve_dist_manual,vl_dist_manual,error_manual,valid_pair_manual,ve_dist_auto,vl_dist_auto,error_auto,valid_pair_auto
Z01_0000,Wet,Z01,NA,128.42255420037097,110.8970172948896,17.52553690548136,TRUE,128.42255420037097,105.14331543143216,23.27923876893881,TRUE
Z01_0001,Wet,Z01,NA,130.8928852640362,108.64641616331475,22.246469100721455,TRUE,130.8928852640362,103.6573993711072,27.23548589292901,TRUE
Z01_0002,Wet,Z01,NA,110.89482300552258,107.4584406481141,3.436382357408476,TRUE,110.89482300552258,98.84174668716405,12.053076318358537,TRUE
Z01_0003,Wet,Z01,NA,102.69253952765006,106.27046513303011,-3.577925605380059,TRUE,102.69253952765006,94.02609400316808,8.666445524481972,TRUE
Z01_0004,Wet,Z01,NA,101.11170028722934,105.0824896175148,-3.970789330285456,TRUE,101.11170028722934,92.54017794289592,8.571522344333431,TRUE
Z01_0005,Wet,Z01,NA,100.39331282838424,103.89451410278734,-3.5012012744031153,TRUE,100.39331282838424,91.05426188057687,9.339050947807335,TRUE
Z01_0006,Wet,Z01,NA,97.6643385977976,102.70653858777612,-5.0421999899785135,TRUE,97.6643385977976,89.56834581906607,8.095992778731542,TRUE
Z01_0007,Wet,Z01,NA,97.98673900403833,101.5185630730486,-3.531824069010284,TRUE,97.98673900403833,91.41216637880171,6.574572625236598,TRUE
Z01_0008,Wet,Z01,NA,97.5944762576946,100.33058755831024,-2.736111300615633,TRUE,97.5944762576946,89.92625031605226,7.668225941642333,TRUE
Z01_0009,Wet,Z01,NA,92.81810501064216,97.5618198745546,-4.7437148639124445,TRUE,92.81810501064216,88.44033425578006,4.377770754862098,TRUE
Z01_0010,Wet,Z01,NA,87.7819936652887,94.6467962165247,-6.864802551236011,TRUE,87.7819936652887,86.95441819222245,0.827575473066247,TRUE
Z01_0011,Wet,Z01,NA,85.18243521039066,91.73177255846416,-6.549337348073507,TRUE,85.18243521039066,85.4685021327584,-0.2860669223677377,TRUE
Z01_0012,Wet,Z01,NA,82.25377194352518,89.03195172609365,-6.778179782568472,TRUE,82.25377194352518,82.27714878674652,-0.02337684322134237,TRUE
Z01_0013,Wet,Z01,NA,79.74395991122233,87.15605972258827,-7.412099811365934,TRUE,79.74395991122233,82.29955515553014,-2.55559524430781,TRUE
Z01_0014,Wet,Z01,NA,79.48595074423301,85.28016771800013,-5.794216973767121,TRUE,79.48595074423301,81.01075394456281,-1.524803200329799,TRUE
Z01_0015,Wet,Z01,NA,77.34683392131161,83.40427571493579,-6.057441793624179,TRUE,77.34683392131161,79.52483788590692,-2.1780039645953053,TRUE
Z01_0016,Wet,Z01,NA,75.34899556853111,81.52838371011784,-6.1793881415867276,TRUE,75.34899556853111,78.0389218243961,-2.6899262558649895,TRUE
Z01_0017,Wet,Z01,NA,75.61540955358826,79.65249170647515,-4.037082152886882,TRUE,75.61540955358826,76.55300576288526,-0.9375962092969984,TRUE
