TransectID,zone,class_val,vclass,vgroup,season,ve_dist,vl_dist,error,abs_error,valid_pair
Z01_0000,Z01,0,NoData,nodata,wet,128.42255420037097,105.14331543143216,23.27923876893881,23.27923876893881,True
Z01_0001,Z01,0,NoData,nodata,wet,130.8928852640362,103.6573993711072,27.235485892929006,27.235485892929006,True
Z01_0002,Z01,0,NoData,nodata,wet,110.89482300552258,98.84174668716405,12.053076318358535,12.053076318358535,True
Z01_0003,Z01,0,NoData,nodata,wet,102.69253952765006,94.02609400316808,8.666445524481972,8.666445524481972,True
Z01_0004,Z01,0,NoData,nodata,wet,101.11170028722934,92.54017794289591,8.571522344333431,8.571522344333431,True
Z01_0005,Z01,0,NoData,nodata,wet,100.39331282838423,91.05426188057689,9.339050947807337,9.339050947807337,True
Z01_0006,Z01,0,NoData,nodata,wet,97.66433859779761,89.56834581906607,8.095992778731542,8.095992778731542,True
Z01_0007,Z01,0,NoData,nodata,wet,97.98673900403833,91.41216637880173,6.574572625236598,6.574572625236598,True
Z01_0008,Z01,0,NoData,nodata,wet,97.5944762576946,89.92625031605226,7.6682259416423335,7.6682259416423335,True
Z01_0009,Z01,0,NoData,nodata,wet,92.81810501064216,88.44033425578006,4.377770754862098,4.377770754862098,True
Z01_0010,Z01,0,NoData,nodata,wet,87.7819936652887,86.95441819222245,0.827575473066247,0.827575473066247,True
Z01_0011,Z01,0,NoData,nodata,wet,85.18243521039066,85.4685021327584,-0.2860669223677377,0.2860669223677377,True
Z01_0012,Z01,0,NoData,nodata,wet,82.25377194352518,82.27714878674652,-0.02337684322134237,0.02337684322134237,True
Z01_0013,Z01,0,NoData,nodata,wet,79.74395991122233,82.29955515553014,-2.55559524430781,2.55559524430781,True
Z01_0014,Z01,0,NoData,nodata,wet,79.48595074423301,81.01075394456281,-1.5248032003297993,1.5248032003297993,True
Z01_0015,Z01,0,NoData,nodata,wet,77.34683392131161,79.52483788590692,-2.1780039645953053,2.1780039645953053,True
Z01_0016,Z01,0,NoData,nodata,wet,75.34899556853111,78.0389218243961,-2.6899262558649895,2.6899262558649895,True
Z01_0017,Z01,0,NoData,nodata,wet,75.61540955358826,76.55300576288526,-0.9375962092969985,0.9375962092969985,True
Z01_0018,Z01,0,NoData,nodata,wet,74.04913093797781,75.06708970137443,-1.0179587633966207,1.0179587633966207,True
Z01_0019,Z01,0,NoData,nodata,wet,73.92096029558999,73.58117363458419,0.3397866610058031,0.3397866610058031,True
Z01_0020,Z01,0,NoData,nodata,wet,73.85704446442394,75.42499419879108,-1.5679497343671471,1.5679497343671471,True
Z01_0021,Z01,0,NoData,nodata,wet,74.06611892334809,75.56440263878925,-1.4982837154411612,1.4982837154411612,True
Z01_0022,Z01,0,NoData,nodata,wet,76.31873052166685,75.7828986970159,0.5358318246509555,0.5358318246509555,True
Z01_0023,Z01,0,NoData,nodata,wet,79.67307312636567,82.52361898778318,-2.8505458614175154,2.8505458614175154,True
Z01_0024,Z01,0,NoData,nodata,wet,85.20612033530335,89.45974968022664,-4.253629344923283,4.253629344923283,True
Z01_0025,Z01,0,NoData,nodata,wet,88.73814960230756,91.30357023996228,-2.565420637654725,2.565420637654725,True
Z01_0026,Z01,0,NoData,nodata,wet,90.40166026226238,89.81765417845146,0.5840060838109196,0.5840060838109196,True
Z01_0027,Z01,0,NoData,nodata,wet,91.46751496848522,88.33173811694063,3.135776851544591,3.135776851544591,True
Z01_0028,Z01,0,NoData,nodata,wet,93.39050839192785,87.39493127985965,5.995577112068204,5.995577112068204,True
Z01_0029,Z01,0,NoData,nodata,wet,95.48036669896462,88.26107238310713,7.219294315857482,7.219294315857482,True
Z01_0030,Z01,0,NoData,nodata,wet,95.04820602469457,86.2726491781103,8.775556846584266,8.775556846584266,True
Z01_0031,Z01,0,NoData,nodata,wet,93.25993075132519,82.49663513965785,10.763295611667331,10.763295611667331,True
Z01_0032,Z01,0,NoData,nodata,wet,88.71162208412088,78.72062110136422,9.99100098275666,9.99100098275666,True
Z01_0033,Z01,0,NoData,nodata,wet,82.66376215270276,74.94460706246704,7.719155090235716,7.719155090235716,True
Z01_0034,Z01,0,NoData,nodata,wet,75.79259728095964,71.16859302351541,4.624004257444227,4.624004257444227,True
Z01_0035,Z01,0,NoData,nodata,wet,70.51018857602328,67.39257898527623,3.117609590747051,3.117609590747051,True
Z01_0036,Z01,0,NoData,nodata,wet,68.01447336796721,66.82331491867954,1.19115844928767,1.19115844928767,True
Z01_0037,Z01,0,NoData,nodata,wet,68.28945383920096,66.2540508514793,2.0354029877216533,2.0354029877216533,True
Z01_0038,Z01,0,NoData,nodata,wet,67.73273042367721,65.6847867848826,2.0479436387946066,2.0479436387946066,True
Z01_0039,Z01,0,NoData,nodata,wet,68.21148866163078,65.11552271789566,3.0959659437351235,3.0959659437351235,True
Z01_0040,Z01,0,NoData,nodata,wet,67.96683958270735,64.54625865114014,3.4205809315672155,3.4205809315672155,True
Z01_0041,Z01,0,NoData,nodata,wet,69.25318709928344,63.97699458454345,5.276192514739989,5.276192514739989,True
Z01_0042,Z01,0,NoData,nodata,wet,72.06235219781165,67.36536408244118,4.696988115370473,4.696988115370473,True
Z01_0043,Z01,0,NoData,nodata,wet,75.48334096763199,69.2519663941404,6.231374573491593,6.231374573491593,True
Z01_0044,Z01,0,NoData,nodata,wet,74.83050812531755,65.47595235590121,9.354555769416336,9.354555769416336,True
Z01_0045,Z01,0,NoData,nodata,wet,69.62270350763598,64.90668828864654,4.71601521898944,4.71601521898944,True
Z01_0046,Z01,0,NoData,nodata,wet,65.30836943260171,64.33742422210429,0.970945210497419,0.970945210497419,True
